job,configuration_id,quantization,workload,concurrency,repetition,status,valid_result,invalid_reasons,input_tokens,output_tokens_requested,output_tokens_per_s,request_throughput_per_s,engine_generation_tokens_delta,ttft_ms_p50,ttft_ms_p95,tpot_ms_p50,tpot_ms_p95,itl_ms_p50,itl_ms_p95,e2e_s_p50,e2e_s_p95,meets_slo,kv_cache_usage_p50,kv_cache_usage_p95,kv_cache_usage_max,num_preemptions_delta,recomputed_tokens_delta,preemption_nonzero_samples,preemption_sample_count,num_waiting_reqs_mean,num_waiting_reqs_max,num_running_reqs_mean,prefix_cache_queries_delta,prefix_cache_hits_delta,gpu_util_mean_pct,gpu_mem_used_mib_max,gpu_power_w_mean,sm_clock_mhz_mean,mem_clock_mhz_mean,gpu_temp_c_max,pcie_gen_mode,cell_num_preemptions_delta,cell_recomputed_tokens_delta,cell_kv_cache_usage_max,cell_preemption_nonzero_samples,telemetry_sample_count,chunk_token_agreement,period_estimate_s,periods_in_window,oscillation_amplitude_rel,client_tokens_between_window_samples,window_sample_span_s,kv_cache_tokens,window_seconds,window_completed_requests,window_streamed_tokens,error_count,total_requests_issued,cell_wall_seconds,weight_bytes_gb,model_path,serving_backend,corpus_version,prompt_set_hash,slo_tpot_ms,started_at,finished_at,gpu_uuid,gpu_name,driver,dispatch_ok,prefix_caching_logged,gate_fired,warmup_truncated
P3,FP4_PRIMARY,FP4,DECODE_PRIMARY,24,1,OK,True,,512,2048,1187.42,0.5431,193965.0,277.66984899062663,301.91265291068703,19.787193490449354,19.8398289851297,19.635368487797678,24.433858052361757,40.786010630545206,40.797759552602656,True,0.387467505814749,0.49714051169790674,0.5023943083869202,0.0,0.0,0,16,0.0,0.0,24.0,0.0,0.0,100.0,22059.0,145.0,1854.53,13365.0,84.0,4.0,0.0,0.0,0.522096045970721,0,37,True,41.7,4.24,0.2968,,,116960,176.77,96,209903,0,240,367.55,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T19:09:21-0400,2026-08-23T19:15:28-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP8_PRIMARY,FP8,DECODE_PRIMARY,1,2,OK,True,,512,2048,66.03,0.0288,7962.0,51.72136798501015,51.79819808108732,15.109789825845773,15.111929139992043,15.103534678928554,15.400286670774221,30.98150238452945,30.985682675312272,True,0.015040052313225472,0.0226581657675331,0.023050514958312895,0.0,0.0,0,12,0.0,0.0,1.0,0.0,0.0,100.0,22485.0,145.0,2064.46,13365.0,84.0,4.0,0.0,0.0,0.02582965505966972,0,31,True,31.0,4.48,0.0149,,,97888,138.7,4,9158,0,11,309.45,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T19:15:56-0400,2026-08-23T19:21:05-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP8_PRIMARY,FP8,DECODE_PRIMARY,8,2,OK,True,,512,2048,449.97,0.1937,67968.0,279.18343257624656,341.5904882363975,17.555289478728234,17.64387417946131,17.514329636469483,19.085387454833835,36.21418305009138,36.219418281049,True,0.14124570868072583,0.20148765734837334,0.20908942291973187,0.0,0.0,0,15,0.0,0.0,8.0,0.0,0.0,100.0,22485.0,145.0,1978.81,13365.0,84.0,4.0,0.0,0.0,0.20908942291973187,0,33,True,36.2,4.56,0.1454,,,97888,165.24,32,74353,0,80,325.98,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T19:21:07-0400,2026-08-23T19:26:33-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP8_PRIMARY,FP8,DECODE_PRIMARY,12,2,OK,True,,512,2048,618.21,0.2598,105708.0,349.7642716392875,424.91323676658794,19.11644876449363,19.230919345177377,19.002683577127755,21.577523730229586,39.48192429402843,39.49088252411457,True,0.21775380088278568,0.2889651790093183,0.29230014713094654,0.0,0.0,0,17,0.0,0.0,12.0,0.0,0.0,100.0,22485.0,145.0,1947.72,13365.0,84.0,4.0,0.0,0.0,0.29230014713094654,0,36,True,39.9,4.63,0.2374,,,97888,184.78,48,114235,0,120,355.52,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T19:26:35-0400,2026-08-23T19:32:31-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P3,FP8_PRIMARY,FP8,DECODE_PRIMARY,24,2,OK,True,,512,2048,1000.01,0.4407,202889.0,467.50986436381936,580.2215394214727,23.43075359430124,23.554920970124904,23.094885516911745,27.948571427259594,48.419647017959505,48.55594859016128,True,0.42913192741539974,0.601765571358509,0.6164786660127514,0.0,0.0,0,20,0.0,0.0,23.71,0.0,0.0,100.0,22485.0,145.0,1886.19,13365.0,85.0,4.0,0.0,0.0,0.6164786660127514,0,39,True,49.3,4.42,0.3545,,,97888,217.84,96,217841,0,216,388.59,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T19:32:31-0400,2026-08-23T19:38:59-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP4_PRIMARY,FP4,DECODE_PRIMARY,1,2,OK,True,,512,2048,87.79,0.0333,9689.0,30.899941455572844,31.100153154693544,11.379474141424804,11.383602836735285,11.388300568796694,11.67849408229813,23.324814479448833,23.33311251010746,True,0.013892564170415456,0.019906059804181014,0.019978830378406975,0.0,0.0,0,11,0.0,0.0,1.0,0.0,0.0,100.0,22549.0,145.0,1892.92,13365.0,84.0,4.0,0.0,0.0,0.019978830378406975,0,28,True,23.3,5.16,0.0251,,,120944,120.16,4,10548,0,12,270.87,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T19:39:27-0400,2026-08-23T19:43:58-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP4_PRIMARY,FP4,DECODE_PRIMARY,8,2,OK,True,,512,2048,567.05,0.2536,63184.0,169.49852043762803,206.76560105057433,13.938561450695946,13.987385122903722,13.915278017520905,15.507189522031695,28.698815161013044,28.706914786726703,True,0.11120666843080179,0.16586398518126486,0.1693569727441122,0.0,0.0,0,11,0.0,0.0,8.0,0.0,0.0,99.5,22549.0,145.0,1890.5,13365.0,84.0,4.0,0.0,0.0,0.1693569727441122,0,29,True,28.8,4.38,0.1169,,,120944,126.18,32,71549,0,88,286.91,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T19:44:00-0400,2026-08-23T19:48:47-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP4_PRIMARY,FP4,DECODE_PRIMARY,12,2,OK,True,,512,2048,763.76,0.325,100404.0,214.70721950754523,257.8211323125288,15.455092435509775,15.516754801520003,15.38868760690093,17.96153117902577,31.846839881502092,31.89758017556742,True,0.18020640381053188,0.24689732733527386,0.2540354591161683,0.0,0.0,0,13,0.0,0.0,12.0,0.0,0.0,99.86,22549.0,145.0,1881.07,13365.0,84.0,4.0,0.0,0.0,0.2540354591161683,0,32,True,31.6,4.67,0.2228,,,120944,147.71,48,112814,0,132,318.46,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T19:48:49-0400,2026-08-23T19:54:07-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P3,FP4_PRIMARY,FP4,DECODE_PRIMARY,24,2,OK,True,,512,2048,1188.29,0.5431,194012.0,284.8605625331402,303.93918562913314,19.780499140257003,19.841937435998815,19.639473990537226,24.423066957388073,40.76738802390173,40.77849511266686,True,0.37470230219634826,0.48062979624239216,0.4851812648848902,0.0,0.0,0,16,0.0,0.0,24.0,0.0,0.0,100.0,22549.0,145.0,1852.18,13365.0,84.0,4.0,0.0,0.0,0.5048954749933845,0,37,True,41.7,4.24,0.2969,,,120944,176.78,96,210064,0,240,367.57,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T19:54:07-0400,2026-08-23T20:00:15-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,BF16_REFERENCE,BF16,DECODE_PRIMARY,1,2,OK,True,,512,2048,36.1,0.0147,9415.0,88.48262892570347,94.1863739863038,27.654733605278835,27.657628900239093,27.65439951326698,27.969552506692708,56.69767875550315,56.70933966374723,True,0.03724928366762181,0.055479942693409744,0.056590257879656214,0.0,0.0,0,26,0.0,0.0,1.0,0.0,0.0,100.0,22525.0,145.0,1766.15,13365.0,84.0,4.0,0.0,0.0,0.056590257879656214,0,46,True,56.7,4.79,0.0219,,,44688,271.94,4,9818,0,9,452.72,16.1,/home/sathvik/.cache/huggingface/hub/models--NousResearch--Meta-Llama-3.1-8B-Instruct/snapshots/d10aef7999a2b5ba950ab3974312feeedbfe0b77,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T20:00:40-0400,2026-08-23T20:08:12-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
