job,configuration_id,quantization,workload,concurrency,repetition,status,valid_result,invalid_reasons,input_tokens,output_tokens_requested,output_tokens_per_s,request_throughput_per_s,engine_generation_tokens_delta,ttft_ms_p50,ttft_ms_p95,tpot_ms_p50,tpot_ms_p95,itl_ms_p50,itl_ms_p95,e2e_s_p50,e2e_s_p95,meets_slo,kv_cache_usage_p50,kv_cache_usage_p95,kv_cache_usage_max,num_preemptions_delta,recomputed_tokens_delta,preemption_nonzero_samples,preemption_sample_count,num_waiting_reqs_mean,num_waiting_reqs_max,num_running_reqs_mean,prefix_cache_queries_delta,prefix_cache_hits_delta,gpu_util_mean_pct,gpu_mem_used_mib_max,gpu_power_w_mean,sm_clock_mhz_mean,mem_clock_mhz_mean,gpu_temp_c_max,pcie_gen_mode,cell_num_preemptions_delta,cell_recomputed_tokens_delta,cell_kv_cache_usage_max,cell_preemption_nonzero_samples,telemetry_sample_count,chunk_token_agreement,period_estimate_s,periods_in_window,oscillation_amplitude_rel,client_tokens_between_window_samples,window_sample_span_s,kv_cache_tokens,window_seconds,window_completed_requests,window_streamed_tokens,error_count,total_requests_issued,cell_wall_seconds,weight_bytes_gb,model_path,serving_backend,corpus_version,prompt_set_hash,slo_tpot_ms,started_at,finished_at,gpu_uuid,gpu_name,driver,dispatch_ok,prefix_caching_logged,gate_fired,warmup_truncated
P1,BF16_REFERENCE,BF16,DECODE_PRIMARY,8,2,OK,True,,512,2048,268.38,0.1158,70040.0,476.562132476829,664.9167845142074,29.517283563003488,29.572700648371793,29.42564559634775,31.005642761010677,60.90151711110957,60.90259944783757,True,0.31232091690544417,0.43753581661891117,0.44412607449856734,0.0,0.0,0,26,0.0,0.0,8.0,0.0,0.0,100.0,22525.0,145.0,1957.56,13365.0,84.0,4.0,0.0,0.0,0.45558739255014324,0,49,True,60.9,4.54,0.0826,,,44688,276.43,32,74189,0,72,487.25,16.1,/home/sathvik/.cache/huggingface/hub/models--NousResearch--Meta-Llama-3.1-8B-Instruct/snapshots/d10aef7999a2b5ba950ab3974312feeedbfe0b77,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T20:08:12-0400,2026-08-23T20:16:20-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,BF16_REFERENCE,BF16,DECODE_PRIMARY,12,2,OK,True,,512,2048,381.31,0.1582,111024.0,604.346320964396,741.1023036809638,31.065607570047145,31.274027616191887,30.87367455009371,33.4432217059657,64.1985037359409,64.21139707891271,True,0.4469914040114613,0.6646848137535817,0.6876790830945558,0.0,0.0,0,29,0.0,0.0,12.0,0.0,0.0,100.0,22525.0,145.0,1893.23,13365.0,83.0,4.0,0.0,0.0,0.6876790830945558,0,52,True,63.1,4.81,0.2212,,,44688,303.47,48,115718,0,108,514.3,16.1,/home/sathvik/.cache/huggingface/hub/models--NousResearch--Meta-Llama-3.1-8B-Instruct/snapshots/d10aef7999a2b5ba950ab3974312feeedbfe0b77,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T20:16:22-0400,2026-08-23T20:24:56-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP4_PRIMARY,FP4,DECODE_PRIMARY,1,3,OK,True,,512,2048,87.81,0.0333,9692.0,30.890342080965638,30.936731316614896,11.377301220324856,11.379596068247201,11.382964556105435,11.682048009242862,23.320154415559955,23.32494321486447,True,0.013892564170415456,0.019906059804181014,0.019978830378406975,0.0,0.0,0,11,0.0,0.0,1.0,0.0,0.0,100.0,22549.0,145.0,1894.17,13365.0,84.0,4.0,0.0,0.0,0.019978830378406975,0,28,True,23.3,5.16,0.025,,,120944,120.17,4,10552,0,12,270.88,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T20:25:24-0400,2026-08-23T20:29:55-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP4_PRIMARY,FP4,DECODE_PRIMARY,8,3,OK,True,,512,2048,567.06,0.2536,63184.0,169.3935280200094,206.77245541010052,13.93468827352703,13.983793085751282,13.905671425163746,15.497886517550796,28.691414142027497,28.69750917374622,True,0.11114051336332365,0.16586398518126486,0.1693569727441122,0.0,0.0,0,11,0.0,0.0,8.0,0.0,0.0,99.5,22549.0,145.0,1890.42,13365.0,84.0,4.0,0.0,0.0,0.1693569727441122,0,29,True,28.8,4.39,0.1146,,,120944,126.18,32,71553,0,88,286.92,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T20:29:55-0400,2026-08-23T20:34:42-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP4_PRIMARY,FP4,DECODE_PRIMARY,12,3,OK,True,,512,2048,763.6,0.3249,100380.0,215.0300060166046,258.2756024436094,15.45327175094673,15.51148773238798,15.382746583782136,17.96779956202954,31.830624162917957,31.898772753367666,True,0.18020640381053188,0.24741333686160363,0.2540354591161683,0.0,0.0,0,13,0.0,0.0,12.0,0.0,0.0,99.86,22549.0,145.0,1881.5,13365.0,84.0,4.0,0.0,0.0,0.2540354591161683,0,32,True,31.6,4.67,0.2216,,,120944,147.72,48,112798,0,132,318.47,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T20:34:44-0400,2026-08-23T20:40:02-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P3,FP4_PRIMARY,FP4,DECODE_PRIMARY,24,3,OK,True,,512,2048,1187.73,0.543,193941.0,276.75149752758443,301.7079689889215,19.78779217827943,19.83622538006483,19.63439234532416,24.43361907498911,40.78063007746823,40.7891751016723,True,0.37470230219634826,0.4806562582693834,0.4853135750198465,0.0,0.0,0,16,0.0,0.0,24.0,0.0,0.0,100.0,22549.0,145.0,1850.94,13365.0,84.0,4.0,0.0,0.0,0.5048954749933845,0,37,True,41.7,4.24,0.2969,,,120944,176.78,96,209973,0,240,367.57,6.07,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-NVFP4,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T20:40:02-0400,2026-08-23T20:46:10-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,BF16_REFERENCE,BF16,DECODE_PRIMARY,1,3,OK,True,,512,2048,36.05,0.0147,9396.0,88.35467253811657,88.50268995156512,27.693801944753275,27.71575618363529,27.698420104570687,28.004667395725846,56.77758807397913,56.82258641619701,True,0.03689111747851004,0.05501432664756447,0.055873925501432664,0.0,0.0,0,26,0.0,0.0,1.0,0.0,0.0,100.0,22525.0,145.0,1762.67,13365.0,84.0,4.0,0.0,0.0,0.055873925501432664,0,46,True,56.8,4.8,0.0248,,,44688,272.44,4,9822,0,9,453.22,16.1,/home/sathvik/.cache/huggingface/hub/models--NousResearch--Meta-Llama-3.1-8B-Instruct/snapshots/d10aef7999a2b5ba950ab3974312feeedbfe0b77,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T20:46:34-0400,2026-08-23T20:54:08-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,BF16_REFERENCE,BF16,DECODE_PRIMARY,8,3,OK,True,,512,2048,268.24,0.1157,70088.0,475.68303160369396,663.850572577212,29.495896687778917,29.553475517972497,29.402685933746397,30.984870286192745,60.85201622301247,60.86258304185467,True,0.31232091690544417,0.4392908309455587,0.44412607449856734,0.0,0.0,0,26,0.0,0.0,8.0,0.0,0.0,100.0,22525.0,145.0,1956.19,13365.0,84.0,4.0,0.0,0.0,0.45558739255014324,0,49,True,60.8,4.54,0.0816,,,44688,276.47,32,74161,0,72,487.29,16.1,/home/sathvik/.cache/huggingface/hub/models--NousResearch--Meta-Llama-3.1-8B-Instruct/snapshots/d10aef7999a2b5ba950ab3974312feeedbfe0b77,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T20:54:08-0400,2026-08-23T21:02:15-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,BF16_REFERENCE,BF16,DECODE_PRIMARY,12,3,OK,True,,512,2048,381.21,0.1582,111000.0,605.9732346329838,742.7090755896643,31.058397125823554,31.265092015424067,30.87572264485061,33.4378209663555,64.19335708068684,64.2532564486377,True,0.4469914040114613,0.6646848137535817,0.6876790830945558,0.0,0.0,0,29,0.0,0.0,12.0,0.0,0.0,100.0,22525.0,145.0,1889.53,13365.0,84.0,4.0,0.0,0.0,0.6876790830945558,0,52,True,63.1,4.81,0.2214,,,44688,303.49,48,115694,0,108,514.33,16.1,/home/sathvik/.cache/huggingface/hub/models--NousResearch--Meta-Llama-3.1-8B-Instruct/snapshots/d10aef7999a2b5ba950ab3974312feeedbfe0b77,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T21:02:17-0400,2026-08-23T21:10:51-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP8_PRIMARY,FP8,DECODE_PRIMARY,1,3,OK,True,,512,2048,66.0,0.0287,7954.0,51.97804456111044,52.103595272637904,15.118044762327106,15.11891408177715,15.116144437342882,15.437344368547201,30.998615673044696,31.000520720670465,True,0.015040052313225472,0.02259277423573649,0.02288703612882137,0.0,0.0,0,12,0.0,0.0,1.0,0.0,0.0,100.0,22485.0,145.0,2055.23,13365.0,84.0,4.0,0.0,0.0,0.02582965505966972,0,31,True,31.0,4.49,0.0152,,,97888,139.21,4,9188,0,11,309.96,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T21:11:19-0400,2026-08-23T21:16:29-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP8_PRIMARY,FP8,DECODE_PRIMARY,8,3,OK,True,,512,2048,450.05,0.1936,67936.0,279.36987357679754,341.93104882724583,17.559843877868197,17.647387667914646,17.51422043889761,19.090563093777746,36.22116141195875,36.23114417882171,True,0.1408370116069969,0.20107896027464445,0.20794507111329086,0.0,0.0,0,15,0.0,0.0,8.0,0.0,0.0,100.0,22485.0,145.0,1972.19,13365.0,84.0,4.0,0.0,0.0,0.20794507111329086,0,33,True,36.2,4.57,0.1467,,,97888,165.26,32,74373,0,80,325.99,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T21:16:31-0400,2026-08-23T21:21:57-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P1,FP8_PRIMARY,FP8,DECODE_PRIMARY,12,3,OK,True,,512,2048,618.13,0.2598,105672.0,350.0284939073026,425.48836120404303,19.115717799228065,19.23227615575531,19.00161348748952,21.566637617070228,39.48020333668683,39.50007087992272,True,0.21775380088278568,0.28758378290011444,0.2905018800065392,0.0,0.0,0,17,0.0,0.0,12.0,0.0,0.0,100.0,22485.0,145.0,1946.83,13365.0,84.0,4.0,0.0,0.0,0.2905018800065392,0,36,True,39.9,4.63,0.2416,,,97888,184.79,48,114223,0,120,355.55,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T21:21:59-0400,2026-08-23T21:27:55-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
P3,FP8_PRIMARY,FP8,DECODE_PRIMARY,24,3,OK,True,,512,2048,999.9,0.4407,202745.0,468.0454609915614,580.850122962147,23.446694661717103,23.566979567022585,23.15383602399379,27.95998853398487,48.45473717653658,48.5723261142266,True,0.42815105443845025,0.6007846983815596,0.6159882295242767,0.0,0.0,0,20,0.0,0.0,23.71,0.0,0.0,100.0,22485.0,145.0,1890.48,13365.0,84.0,4.0,0.0,0.0,0.6159882295242767,0,39,True,49.4,4.41,0.3575,,,97888,217.84,96,217817,0,216,388.61,9.12,/home/sathvik/llm_quantization_threshold/checkpoints/llama31-8b-instruct-FP8_DYNAMIC,vLLM 0.19.1,c4-en-validation-shard0-v1,2681c604332813f2e893b252bc512efaac15316874d22352917492e5a40b130f,50.0,2026-08-23T21:27:55-0400,2026-08-23T21:34:23-0400,GPU-fdc11a18-6edb-7e2f-82b2-6bd0b9ed714d,NVIDIA RTX PRO 4000 Blackwell,575.64.03,True,False,True,False
